ID,organ ID,date,time,user,weight
11,SP,10/1/2019,8:28:31,pm,       0.055 g  
11,LV,10/1/2019,8:29:49,pm,       1.387 g  
11,KIR,10/1/2019,8:30:05,pm,       0.173 g  
11,KIL,10/1/2019,8:30:19,pm,       0.170 g  
11,TER,10/1/2019,8:30:34,pm,       0.083 g  
11,TEL,10/1/2019,8:30:49,pm,       0.087 g  
11,HE,10/1/2019,8:33:03,pm,       0.114 g  
11,LU,10/1/2019,8:33:22,pm,       0.168 g  
12,SP,10/1/2019,8:40:55,pm,       0.056 g  
12,LV,10/1/2019,8:44:36,pm,       1.502 g  
12,KIR,10/1/2019,8:46:01,pm,       0.174 g  
12,KIL,10/1/2019,8:46:25,pm,       0.166 g  
12,TER,10/1/2019,8:48:16,pm,       0.086 g  
12,TEL,10/1/2019,8:48:40,pm,       0.088 g  
12,HE,10/1/2019,8:51:59,pm,       0.124 g  
12,LU,10/1/2019,8:52:24,pm,       0.204 g  
13,SP,10/1/2019,9:16:09,pm,       0.079 g  
13,LV,10/1/2019,9:16:22,pm,       1.407 g  
13,KIR,10/1/2019,9:16:36,pm,       0.184 g  
13,KIL,10/1/2019,9:16:48,pm,       0.172 g  
13,TER,10/1/2019,9:17:02,pm,       0.084 g  
13,TEL,10/1/2019,9:17:20,pm,       0.085 g  
13,HE,10/1/2019,9:19:47,pm,       0.123 g  
13,LU,10/1/2019,9:20:03,pm,       0.192 g  
14,SP,10/1/2019,9:20:52,pm,       0.055 g  
14,LV,10/1/2019,9:27:10,pm,       1.507 g  
14,KIR,10/1/2019,9:27:35,pm,       0.152 g  
14,KIL,10/1/2019,9:28:00,pm,       0.161 g  
14,TER,10/1/2019,9:28:26,pm,       0.081 g  
14,TEL,10/1/2019,9:28:53,pm,       0.077 g  
14,HE,10/1/2019,9:33:50,pm,       0.154 g  
14,LU,10/1/2019,9:34:16,pm,       0.213 g  
15,SP,10/1/2019,9:53:56,pm,       0.060 g  
15,LV,10/1/2019,9:54:10,pm,       1.375 g  
15,KIR,10/1/2019,9:54:24,pm,       0.191 g  
15,KIL,10/1/2019,9:54:39,pm,       0.176 g  
15,TER,10/1/2019,9:54:53,pm,       0.095 g  
15,TEL,10/1/2019,9:55:07,pm,       0.107 g  
15,HE,10/1/2019,9:55:21,pm,       0.117 g  
15,LU,10/1/2019,9:55:34,pm,       0.180 g  
16,SP,10/1/2019,10:02:46,pm,       0.068 g  
16,LV,10/1/2019,10:04:57,pm,       1.603 g  
16,KIR,10/1/2019,10:07:21,pm,       0.186 g  
16,KIL,10/1/2019,10:07:44,pm,       0.167 g  
16,TER,10/1/2019,10:08:09,pm,       0.074 g  
16,TEL,10/1/2019,10:08:33,pm,       0.071 g  
16,HE,10/1/2019,10:11:37,pm,       0.153 g  
16,LU,10/1/2019,10:11:59,pm,       0.255 g  
17,SP,10/1/2019,10:30:38,pm,       0.063 g  
18,SP,10/1/2019,10:36:41,pm,       0.035 g  
17,LV,10/1/2019,10:37:43,pm,       1.479 g  
18,KIR,10/1/2019,10:38:01,pm,       0.246 g  
18,KIL,10/1/2019,10:38:18,pm,       0.176 g  
18,TER,10/1/2019,10:38:35,pm,       0.077 g  
18,TEL,10/1/2019,10:38:54,pm,       0.077 g  
17,LV,10/1/2019,10:40:18,pm,       1.276 g  
17,KIR,10/1/2019,10:41:07,pm,       0.150 g  
17,KIL,10/1/2019,10:41:30,pm,       0.149 g  
18,HE,10/1/2019,10:43:00,pm,       0.193 g  
18,LU,10/1/2019,10:43:24,pm,       0.201 g  
17,TER,10/1/2019,10:44:12,pm,       0.080 g  
17,TEL,10/1/2019,10:44:35,pm,       0.076 g  
17,HE,10/1/2019,10:47:34,pm,       0.131 g  
17,LU,10/1/2019,10:48:02,pm,       0.182 g  
20,SP,10/1/2019,11:15:39,pm,       0.061 g  
20,LV,10/1/2019,11:16:10,pm,       1.136 g  
20,KIR,10/1/2019,11:16:26,pm,       0.130 g  
20,KIL,10/1/2019,11:16:38,pm,       0.131 g  
20,HE,10/1/2019,11:16:52,pm,       0.106 g  
20,LU,10/1/2019,11:17:22,pm,       0.146 g  
21,SP,10/1/2019,11:18:51,pm,       0.091 g  
22,LV,10/1/2019,11:22:41,pm,       1.193 g  
22,KIR,10/1/2019,11:24:51,pm,       0.124 g  
22,KIL,10/1/2019,11:25:16,pm,       0.119 g  
22,HE,10/1/2019,11:27:38,pm,       0.115 g  
22,LU,10/1/2019,11:28:00,pm,       0.198 g  
23,SP,10/1/2019,11:55:06,pm,       0.078 g  
23,LV,10/1/2019,11:59:57,pm,       1.331 g  
23,KIR,10/1/2019,12:00:25,pm,       0.153 g  
23,KIL,10/1/2019,12:00:47,pm,       0.161 g  
23,HE,10/1/2019,12:05:25,pm,       0.131 g  
23,LU,10/1/2019,12:05:49,pm,       0.214 g  
