ID,organ ID,date,time,user,weight
1,SP,9/30/2019,8:30:58,pm,       0.059 g  
1,LV,9/30/2019,8:31:17,pm,       1.522 g  
1,KIR,9/30/2019,8:32:18,pm,       0.194 g  
1,KIL,9/30/2019,8:32:36,pm,       0.185 g  
1,TER,9/30/2019,8:32:53,pm,       0.082 g  
1,TEL,9/30/2019,8:33:13,pm,       0.082 g  
1,HE,9/30/2019,8:35:08,pm,       0.128 g  
1,LU,9/30/2019,8:35:31,pm,       0.207 g  
2,SP,9/30/2019,8:41:40,pm,       0.046 g  
2,LV,9/30/2019,8:44:59,pm,       1.605 g  
2,KIR,9/30/2019,8:46:08,pm,       0.162 g  
2,KIL,9/30/2019,8:46:31,pm,       0.193 g  
2,TER,9/30/2019,8:48:15,pm,       0.054 g  
2,TEL,9/30/2019,8:48:37,pm,       0.063 g  
2,HE,9/30/2019,8:51:14,pm,       0.152 g  
2,LU,9/30/2019,8:51:37,pm,       0.169 g  
3,SP,9/30/2019,9:10:52,pm,       0.052 g  
3,LV,9/30/2019,9:11:09,pm,       1.285 g  
3,KIR,9/30/2019,9:12:06,pm,       0.156 g  
3,KIL,9/30/2019,9:12:20,pm,       0.170 g  
3,TER,9/30/2019,9:12:36,pm,       0.069 g  
3,TEL,9/30/2019,9:12:54,pm,       0.066 g  
3,HE,9/30/2019,9:13:10,pm,       0.142 g  
3,LU,9/30/2019,9:13:25,pm,       0.151 g  
4,SP,9/30/2019,9:16:14,pm,       0.081 g  
4,LV,9/30/2019,9:19:36,pm,       1.617 g  
4,KIR,9/30/2019,9:20:56,pm,       0.195 g  
4,KIL,9/30/2019,9:21:19,pm,       0.183 g  
4,TER,9/30/2019,9:23:08,pm,       0.071 g  
4,TEL,9/30/2019,9:23:36,pm,       0.063 g  
4,HE,9/30/2019,9:26:05,pm,       0.180 g  
4,LU,9/30/2019,9:26:27,pm,       0.203 g  
4,SP,9/30/2019,9:50:38,pm,       0.071 g  
4,LV,9/30/2019,9:51:41,pm,       1.332 g  
4,KIR,9/30/2019,9:51:55,pm,       0.180 g  
4,KIL,9/30/2019,9:52:08,pm,       0.170 g  
4,TER,9/30/2019,9:52:21,pm,       0.082 g  
4,TEL,9/30/2019,9:52:35,pm,       0.085 g  
4,HE,9/30/2019,9:52:50,pm,       0.126 g  
4,LU,9/30/2019,9:53:04,pm,       0.160 g  
5,SP,9/30/2019,9:56:48,pm,       0.071 g  
5,LV,9/30/2019,10:00:30,pm,       1.473 g  
5,KIR,9/30/2019,10:02:00,pm,       0.202 g  
5,KIL,9/30/2019,10:02:23,pm,       0.186 g  
5,TER,9/30/2019,10:04:16,pm,       0.074 g  
5,TEL,9/30/2019,10:04:40,pm,       0.063 g  
5,HE,9/30/2019,10:07:31,pm,       0.174 g  
5,LU,9/30/2019,10:07:57,pm,       0.205 g  
6,SP,9/30/2019,10:29:18,pm,       0.069 g  
6,LV,9/30/2019,10:29:32,pm,       1.234 g  
6,KIR,9/30/2019,10:29:49,pm,       0.137 g  
6,KIL,9/30/2019,10:30:03,pm,       0.134 g  
6,HE,9/30/2019,10:30:16,pm,       0.137 g  
6,LU,9/30/2019,10:30:31,pm,       0.176 g  
6,SP,9/30/2019,10:31:44,pm,       0.100 g  
6,LV,9/30/2019,10:36:03,pm,       0.942 g  
6,KIR,9/30/2019,10:38:10,pm,       0.160 g  
6,KIL,9/30/2019,10:38:32,pm,       0.144 g  
6,HE,9/30/2019,10:41:29,pm,       0.154 g  
6,LU,9/30/2019,10:41:52,pm,       0.220 g  
7,SP,9/30/2019,11:00:39,pm,       0.095 g  
8,SP,9/30/2019,11:04:31,pm,       0.101 g  
7,LV,9/30/2019,11:05:17,pm,       1.251 g  
7,KIR,9/30/2019,11:05:33,pm,       0.162 g  
7,KIL,9/30/2019,11:05:50,pm,       0.146 g  
7,HE,9/30/2019,11:07:25,pm,       0.149 g  
7,LU,9/30/2019,11:07:43,pm,       0.193 g  
8,LV,9/30/2019,11:09:37,pm,       1.337 g  
8,KIR,9/30/2019,11:09:59,pm,       0.159 g  
8,KIL,9/30/2019,11:10:18,pm,       0.151 g  
8,HE,9/30/2019,11:13:06,pm,       0.130 g  
8,LU,9/30/2019,11:13:32,pm,       0.201 g  
9,SP,9/30/2019,11:35:13,pm,       0.076 g  
9,LV,9/30/2019,11:38:47,pm,       1.256 g  
9,KIR,9/30/2019,11:40:19,pm,       0.140 g  
9,KIL,9/30/2019,11:41:14,pm,       0.118 g  
9,HE,9/30/2019,11:44:08,pm,       0.118 g  
9,LU,9/30/2019,11:44:32,pm,       0.186 g  
